pid;Vorname;Name;Position;Telefon;Email
1;Manfred;Burger;Senior Consultant;089/141232;mburger@company.de
2;Alina;Müller;Consultant;089/238471;amueller@company.de
3;Markus;Ernst;Managing Consultant;089/282621;mernst@company.de
4;Thorsten;Maier;Senior Consultant;089/92242;tmaier@company.de
5;Emma;Bader;Consultant;089/1265342;ebader@company.de
6;Esther;Schwammer;Junior Consultant;089/3135213;eschwammer@company.de
7;Ludwig;Ludowig;Senior Consultant;089/315132;lludowig@company.de
8;Chris;Müller;Consultant;089/623413;cmueller@company.de
9;Laura;Sonne;Consultant;089/4131236;lsonne@company.de
10;Bobby;Fields;Senior Consultant;089/3123123;bfields@company.de
